,postID,postTitle,postTime,Author,IP,Link,PushCount,BooCount,ArrorCount
542,1TA2Me1U,Re: [新聞] 柯文哲談新潮流：不見得一竿子打翻一條船,Fri Jul 12 14:16:06 2019,navicrops (Mithril),122.117.206.137,https://www.ptt.cc/bbs/Gossiping/M.1562912168.A.05E.html,186,17,172
543,1TA2h8Xj,Re: [新聞] 柯文哲談新潮流：不見得一竿子打翻一條船,Fri Jul 12 14:37:40 2019,Anddyliu (安滴滴),118.166.130.234,https://www.ptt.cc/bbs/Gossiping/M.1562913480.A.86D.html,165,24,84
544,1TA2mA9J,Re: [檢舉] 超過五個帳號 R3,Fri Jul 12 14:43:14 2019,IloveBlack2 (我愛花媽花媽愛我),103.227.42.8,https://www.ptt.cc/bbs/Gossiping/M.1562913802.A.253.html,148,13,83
545,1TA2vXpC,Re: [新聞] 大彎北商業宅就地合法公平嗎？柯文哲：大,Fri Jul 12 14:53:17 2019,Mulice0926 (柴柴),122.146.248.205,https://www.ptt.cc/bbs/Gossiping/M.1562914401.A.CCC.html,314,55,96
546,1TA33GT0,[新聞] 川普指中國失信 G20後沒買美農產品,Fri Jul 12 15:03:36 2019,am712 (EC),36.226.46.107,https://www.ptt.cc/bbs/Gossiping/M.1562915024.A.740.html,207,11,137
547,1TA3H7Q6,Re: [新聞] Line訊息聲被嫌吵 速食店讀書客要求調靜,Fri Jul 12 15:18:28 2019,emailcool (emailcool),42.72.144.248,https://www.ptt.cc/bbs/Gossiping/M.1562915911.A.686.html,174,1,11
548,1TA3WBQw,Re: [檢舉] 超過五個帳號 R3,Fri Jul 12 15:34:33 2019,ceaserman (神采飛揚),61.221.50.94,https://www.ptt.cc/bbs/Gossiping/M.1562916875.A.6BA.html,303,90,199
549,1TA3ZDww,[新聞] 蔡英文出訪延長過境美國 外媒：獲川普支,Fri Jul 12 15:37:44 2019,eeth (韓國綜藝社),27.247.2.188,https://www.ptt.cc/bbs/Gossiping/M.1562917069.A.EBA.html,154,13,41
550,1TA3dg5S,[新聞] 郭台銘喊「大哥拜託你!」 蕭裔芬:他瘋了,Fri Jul 12 15:42:32 2019,w09351500 (),114.136.79.46,https://www.ptt.cc/bbs/Gossiping/M.1562917354.A.15C.html,309,32,230
551,1TA3_Fk1,[問卦] 「改變成真 持續發生」台北什麼改變了？,Fri Jul 12 16:07:41 2019,jerrysuper (super),42.73.3.38,https://www.ptt.cc/bbs/Gossiping/M.1562918863.A.B81.html,571,176,533
552,1TA3_oC_,[新聞] 黨產會稱「美軍售688億等於已處分黨產金,Fri Jul 12 16:08:15 2019,joug (好東西不簽嗎),36.233.61.231,https://www.ptt.cc/bbs/Gossiping/M.1562918898.A.33F.html,189,28,80
553,1TA49GvF,[爆卦] 台灣半導體設備市場贏南韓 5ch:台灣最高,Fri Jul 12 16:18:21 2019,taotzu (╮(╯▽╰),114.38.244.143,https://www.ptt.cc/bbs/Gossiping/M.1562919504.A.E4F.html,312,11,206
554,1TA4aMPr,[新聞] 手機偷拍短褲妙齡女　賣場民眾合力揪狼,Fri Jul 12 16:47:16 2019,kuitiiq (能耐),180.217.235.93,https://www.ptt.cc/bbs/Gossiping/M.1562921238.A.675.html,237,23,95
555,1TA4lXgD,[新聞] 韓國瑜走向「五殺」局面？藍營人士指支持,Fri Jul 12 16:59:10 2019,excell (Soft On Demand),58.114.121.79,https://www.ptt.cc/bbs/Gossiping/M.1562921953.A.A8D.html,269,45,156
556,1TA5MsWt,[新聞] 送中條例壽終正寢 換社會信用評分登場,Fri Jul 12 17:41:07 2019,sunbysea (忠言逆耳良藥苦口),42.75.152.21,https://www.ptt.cc/bbs/Gossiping/M.1562924470.A.837.html,136,4,39
557,1TA5cxm3,[新聞] 綠灌票奏效？打趴藍綠白群雄　韓國瑜最新,Fri Jul 12 17:58:17 2019,hello456 (好無聊......),220.132.62.62,https://www.ptt.cc/bbs/Gossiping/M.1562925499.A.C03.html,416,57,427
558,1TA5-USF,[新聞] 郭台銘「大哥拜託你」名嘴酸「難道遇上,Fri Jul 12 18:23:24 2019,milk7045 (),223.137.54.164,https://www.ptt.cc/bbs/Gossiping/M.1562927006.A.70F.html,140,12,90
559,1TA6GmgB,[新聞] 蔡總統過境美國層級提升 中國外交部怒提,Fri Jul 12 18:42:54 2019,KouChouChing (20分鐘),122.121.234.48,https://www.ptt.cc/bbs/Gossiping/M.1562928176.A.A8B.html,322,20,119
560,1TA6OT6i,[新聞]潮牌老闆跳溪救2姪女！用盡全力把人推向,Fri Jul 12 18:51:07 2019,dozier (dozier),1.161.4.183,https://www.ptt.cc/bbs/Gossiping/M.1562928669.A.1AC.html,191,9,51
561,1TA6yqQc,Re: [檢舉] 超過五個帳號,Fri Jul 12 19:29:54 2019,MoriiKaho (牡羊座女孩),58.114.25.142,https://www.ptt.cc/bbs/Gossiping/M.1562930996.A.6A6.html,114,3,78
562,1TA6zivf,[新聞] 17友邦代表到齊！外媒關注總統紐約外交突破,Fri Jul 12 19:30:49 2019,HomeTogether (人在歸途),199.241.123.17,https://www.ptt.cc/bbs/Gossiping/M.1562931052.A.E69.html,201,10,89
563,1TA7Dj8p,[新聞] 控美違反國際準則 北京宣布制裁對台軍售,Fri Jul 12 19:47:50 2019,njnjy (站長),36.233.207.175,https://www.ptt.cc/bbs/Gossiping/M.1562932077.A.233.html,624,66,309
564,1TA7OYbP,[新聞] 張國煒換照成功　10月親駕星宇A321neo回,Fri Jul 12 19:59:28 2019,cycling (來咬我啊笨蛋),111.71.11.190,https://www.ptt.cc/bbs/Gossiping/M.1562932770.A.959.html,166,2,64
565,1TA7WtI5,Re: [檢舉] 超過五個帳號,Fri Jul 12 20:08:21 2019,arsonlolita (網路環保人士),114.136.207.234,https://www.ptt.cc/bbs/Gossiping/M.1562933303.A.485.html,364,31,227
566,1TA7kBig,Re: [新聞] 調查局高官轉蘇貞昌摔筆謠言 週刊踢爆是,Fri Jul 12 20:22:32 2019,ErikPonti (Ponti),118.160.88.216,https://www.ptt.cc/bbs/Gossiping/M.1562934155.A.B2A.html,136,3,45
567,1TA7u9q4,[新聞] 男退伍才覓工 雙親竟相繼中風病癱,Fri Jul 12 20:33:09 2019,iXXXXGAY5566 (我非四叉貓 有恩怨請找牠),123.194.139.202,https://www.ptt.cc/bbs/Gossiping/M.1562934793.A.D04.html,154,2,35
568,1TA80qJN,Re: [新聞] 大彎北就地合法 柯P:被我們特赦不是窮人,Fri Jul 12 20:42:26 2019,RandyXiao (RandyXiao),101.12.0.46,https://www.ptt.cc/bbs/Gossiping/M.1562935348.A.4D7.html,327,95,214
569,1TA888ER,[爆卦] 北檢發聲明司法不能因馬英九而標準不一,Fri Jul 12 20:50:03 2019,ueewen (ueewen),203.67.7.101,https://www.ptt.cc/bbs/Gossiping/M.1562935816.A.39B.html,171,21,69
570,1TA8PE0r,[問卦] 請大家繼續支持小穹(發錢),Fri Jul 12 21:08:28 2019,EmeraldAZ (小穹控),39.9.34.105,https://www.ptt.cc/bbs/Gossiping/M.1562936910.A.035.html,132,0,29
571,1TA8YO_Q,[新聞] 傳中國海關警告貨運公司 偷運黃雨傘、,Fri Jul 12 21:18:14 2019,DJSHD2 (GalaxyExplosionote7),59.120.229.98,https://www.ptt.cc/bbs/Gossiping/M.1562937496.A.FDA.html,157,14,62
572,1TA8hPrK,[新聞]氣炸了！美對台678億元軍售 中國宣布制裁,Fri Jul 12 21:27:50 2019,ckbdfrst (ckbdfrst),61.224.184.204,https://www.ptt.cc/bbs/Gossiping/M.1562938073.A.D54.html,163,8,108
573,1TA8hYAB,[新聞] 世大運舉TAIWAN旗幟被憲兵搶 法院判國安,Fri Jul 12 21:28:00 2019,batt0909 (小魚),42.74.138.213,https://www.ptt.cc/bbs/Gossiping/M.1562938082.A.28B.html,301,38,164
574,1TA8zPyP,[問卦]中國房東掌摑台灣女孩:台灣是中國的一個島,Fri Jul 12 21:47:03 2019,"hk416 (  ☑
  ☠
  ☜
  ✉
  ☎
♂♀  ♪  嫑  嫑的)",114.46.75.197,https://www.ptt.cc/bbs/Gossiping/M.1562939225.A.F19.html,168,21,112
575,1TAAVqV_,Re: [新聞] 世大運舉TAIWAN旗幟被憲兵搶 法院判國安,Fri Jul 12 23:32:01 2019,smallchocho (smallchocho),111.248.194.60,https://www.ptt.cc/bbs/Gossiping/M.1562945524.A.7FF.html,291,136,314
576,1TAEZ4el,[問卦] 凌晨4點，有誰還沒睡？,Sat Jul 13 04:08:31 2019,staff23 (筆名蘇溫永(志火偉大ㄟ),1.160.67.91,https://www.ptt.cc/bbs/Gossiping/M.1562962116.A.A2F.html,116,4,114
